1;001a;;AA;AA-001a;-1;DISPONIBLE;;;1
2;001b;;AA;AA-001b;-1;DISPONIBLE;;;1
3;001a;;AA;AA-001a;-1;DISPONIBLE;;;1
4;001b;;AA;AA-001b;-1;DISPONIBLE;;;1
5;001a;;AA;AA-001a;-1;DISPONIBLE;;;1
6;001b;;AA;AA-001b;-1;DISPONIBLE;;;1
7;001a;;AA;AA-001a;-1;DISPONIBLE;;;1
8;001b;;AA;AA-001b;-1;DISPONIBLE;;;1
9;001a;;AA;AA-001a;-1;DISPONIBLE;;;1
10;001b;;AA;AA-001b;-1;DISPONIBLE;;;1
11;0011;;AA;AA-0011;-1;DISPONIBLE;;;1
12;0012;;AA;AA-0012;-1;DISPONIBLE;;;1
13;0013;;AA;AA-0013;-1;DISPONIBLE;;;1
14;0014;;AA;AA-0014;-1;DISPONIBLE;;;1
15;0015;;AA;AA-0015;-1;DISPONIBLE;;;1
16;0016;;AA;AA-0016;-1;DISPONIBLE;;;1
17;0017;;AA;AA-0017;-1;DISPONIBLE;;;1
18;0018;;AA;AA-0018;-1;DISPONIBLE;;;1
19;0019;;AA;AA-0019;-1;DISPONIBLE;;;1
20;0020;;AA;AA-0020;-1;DISPONIBLE;;;1
21;0021;;AA;AA-0021;-1;DISPONIBLE;;;1
22;0022;;AA;AA-0022;-1;DISPONIBLE;;;1
23;0023;;AA;AA-0023;-1;DISPONIBLE;;;1
24;0024;;AA;AA-0024;-1;DISPONIBLE;;;1
25;0025;;AA;AA-0025;-1;DISPONIBLE;;;1
26;0026;;AA;AA-0026;-1;DISPONIBLE;;;1
27;0027;;AA;AA-0027;-1;DISPONIBLE;;;1
28;0028;;AA;AA-0028;-1;DISPONIBLE;;;1
29;0029;;AA;AA-0029;-1;DISPONIBLE;;;1
30;0030;;AA;AA-0030;-1;DISPONIBLE;;;1
31;0031;;AA;AA-0031;-1;DISPONIBLE;;;1
32;0032;;AA;AA-0032;-1;DISPONIBLE;;;1
33;0033;;AA;AA-0033;-1;DISPONIBLE;;;1
34;0034;;AA;AA-0034;-1;DISPONIBLE;;;1
35;0035;;AA;AA-0035;-1;DISPONIBLE;;;1
36;0036;;AA;AA-0036;-1;DISPONIBLE;;;1
37;0037;;AA;AA-0037;-1;DISPONIBLE;;;1
38;0038;;AA;AA-0038;-1;DISPONIBLE;;;1
39;0039;;AA;AA-0039;-1;DISPONIBLE;;;1
40;0040;;AA;AA-0040;-1;DISPONIBLE;;;1
41;0041;;AA;AA-0041;-1;DISPONIBLE;;;1
42;0042;;AA;AA-0042;-1;DISPONIBLE;;;1
43;0043;;AA;AA-0043;-1;DISPONIBLE;;;1
44;0044;;AA;AA-0044;-1;DISPONIBLE;;;1
45;0045;;AA;AA-0045;-1;DISPONIBLE;;;1
46;0046;;AA;AA-0046;-1;DISPONIBLE;;;1
47;0047;;AA;AA-0047;-1;DISPONIBLE;;;1
48;0048;;AA;AA-0048;-1;DISPONIBLE;;;1
49;0049;;AA;AA-0049;-1;DISPONIBLE;;;1
50;0050;;AA;AA-0050;-1;DISPONIBLE;;;1
51;0051;;AA;AA-0051;-1;DISPONIBLE;;;1
52;0052;;AA;AA-0052;-1;DISPONIBLE;;;1
53;0053;;BB;BB-0053;-1;DISPONIBLE;;;1
54;0054;;BB;BB-0054;-1;DISPONIBLE;;;1
55;0055;;BB;BB-0055;-1;DISPONIBLE;;;1
56;0056;;BB;BB-0056;-1;DISPONIBLE;;;1
57;0057;;BB;BB-0057;-1;DISPONIBLE;;;1
58;0058;;BB;BB-0058;-1;DISPONIBLE;;;1
59;0059;;BB;BB-0059;-1;DISPONIBLE;;;1
60;0060;;BB;BB-0060;-1;DISPONIBLE;;;1
61;0061;;BB;BB-0061;-1;DISPONIBLE;;;1
62;0062;;BB;BB-0062;-1;DISPONIBLE;;;1
63;0063;;BB;BB-0063;-1;DISPONIBLE;;;1
64;0064;;BB;BB-0064;-1;DISPONIBLE;;;1
65;0065;;BB;BB-0065;-1;DISPONIBLE;;;1
66;0066;;BB;BB-0066;-1;DISPONIBLE;;;1
67;0067;;BB;BB-0067;-1;DISPONIBLE;;;1
68;0068;;BB;BB-0068;-1;DISPONIBLE;;;1
69;0069;;BB;BB-0069;-1;DISPONIBLE;;;1
70;0070;;BB;BB-0070;-1;DISPONIBLE;;;1
71;0071;;BB;BB-0071;-1;DISPONIBLE;;;1
72;0072;;BB;BB-0072;-1;DISPONIBLE;;;1
73;0073;;BB;BB-0073;-1;DISPONIBLE;;;1
74;0074;;BB;BB-0074;-1;DISPONIBLE;;;1
75;0075;;BB;BB-0075;-1;DISPONIBLE;;;1
76;0076;;BB;BB-0076;-1;DISPONIBLE;;;1
77;0077;;BB;BB-0077;-1;DISPONIBLE;;;1
78;0078;;BB;BB-0078;-1;DISPONIBLE;;;1
79;0079;;BB;BB-0079;-1;DISPONIBLE;;;1
80;0080;;BB;BB-0080;-1;DISPONIBLE;;;1
81;0081;;BB;BB-0081;-1;DISPONIBLE;;;1
82;0082;;BB;BB-0082;-1;DISPONIBLE;;;1
